cluster,size,id,text,from_input,book
151969,8,Shamela0006633-ara1.completed.ms302,من لم اخلق وقوله يا صاحبي وما البخيل بصاحب هذي الديار فاين تلك الادمع اتمر بالعرصات لا تبكي بها وهي المعاهد منهم والاربع هيهات لا ريح اللواعج بعدهم رهو ولا طير الصبابة وقع يا سعد ما هذا المقام وقد مضوا اتقيم من بعد القلوب الاضلع جاروا علي قلبي بسحر جفونهم لا زال يشعبه الاسي ويصدع وابي الهوي الا الحلول بلعلع ويح المطايا ابن منها لعلع لم يدر اين ثووا فلم يسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه منهم رقت تتضوع فاذا منحتهم السلام تبادرت تبليغه عني الرياح الربع ,False,0685IbnSacidMaghribi.Mughrib
151969,8,Shamela0035100-ara1.mARkdown.ms09442,فمن ذلك يا صاحبي وما البخيل بصاحبي هذي الخيام فاين تلك الادمع اتمر بالعرصات لا تبكي بها وهي المعاهد منهم والاربع يا سعد ما هذا المقام وقد ناوا اتقيم من بعد القلوب الاضلع وابي الهوي الا الحلول بلعلع ويح المطايا اين منها لعلع لم ادر اين ثووا فلم اسال بهم ريحا تهب ولا بريقا يلمع ,False,0748Dhahabi.TarikhIslam
151969,8,Shamela0001003-ara1.completed.ms518,من الف شهر وقال يا صاحبي وما البخيل بصاحبي هذي الخيام فاين تلك الادمع انمر بالعرصات لا نبكي بها وهي المعاهد منهم وهي الاربع يا سعد ما هذا القيام وفد ناوا اتقيم من بعد القلوب الاضلع هيهات لا ريح اللواعج بعدهم رهو ولا طير الصبابة وقع وابي الهوي الا الحلول بلعلع ويح المطايا اين منها لعلع لم ادر اين ثووا فلم اسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه مني رقة وتضرع فاذا منحتهم السلام تبادرت تبليغه عني الرياح الاربع ابن نبيه الشاعر علي بن محمد بن الحسن بن ,False,0764IbnShakirKutubi.FawatWafayat
151969,8,JK003609-ara1.mARkdown.ms5495,الكامل يا صاحبي وما البخيل بصاحبي هذي الخيام فاين تلك الادمع انمر بالعرصات لا نبكي بها وهي المعاهد منهم والاربع يا سعد ما هذا القيام وقد ناوا اتقيم من بعد القلوب الاضلع هيهات لا ريح اللواعج بعدهم رهو ولا طير الصبابة وقع جاروا علي قلبي بسحر جفونهم لا زال يشعبه الاسي ويصدع وابي الهوي الا الحلول بلعلع ويح المطايا اين منها لعلع لم ادر اين ثوروا فلم اسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه مني رقة وتضوع فاذا منحتهم السلام تبادرت تبليغه عني الرياح الاربع شرف الدين اليونيني الحنبلي علي بن محمد بن احمد بن عبد ,False,0764Safadi.WafiBiWafayat
151969,8,Shamela0009984-ara1.completed.ms071,حروف المعجم وله ارجوزة بديعة عارضة بها ابن سيده ومقصورة عارض بها ابن دريدس ورسالة ضمنها ابيات الجمل سماها الرسالة الفريدة والاملوحة المفيدة لم يسبق الي مثلها مات سنة اثنتين وعشرين وستماءة ومن شعره يا صاحبي وما البخيل بصاحبي هذي الخيام فاين تلك الادمع اتمر بالعرصات لا تبكي بها وهي المعاهد منهم والاربع يا سعد ما هذا المقام وقد ناوا اتقيم من بعد القلوب الاضلع هيهات لا ريح الطواعج بعدهم رهوا ولا طير الصبابة دمع وابي الهوي الا الحلول بلعلع ويح المطايا اين منها لعلع لم ادر اين ثووا فلم اسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه منها رنة وتضوع فاذا منحتهم السلام تبادرت تبليغه عني الرياح الاربع علي بن محمد بن عبد الصمد بن عبد ,False,0817MajdDinFiruzabadi.BulghaFiTarajim
151969,8,Sham30K0033307-ara1.ms526,حروف المعجم وله ارجوزة بديعة عارضة بها ابن سيده ومقصورة عارض بها ابن دريدس ورسالة ضمنها ابيات الجمل سماها الرسالة الفريدة والاملوحة المفيدة لم يسبق الي مثلها مات سنة اثنتين وعشرين وستماءة ومن شعره يا صاحبي وما البخيل بصاحبي هذي الخيام فاين تلك الادمع اتمر بالعرصات لا تبكي بها وهي المعاهد منهم والاربع يا سعد ما هذا المقام وقد ناوا اتقيم من بعد القلوب الاضلع هيهات لا ريح الطواعج بعدهم رهوا ولا طير الصبابة دمع اورد ,False,1450QasimCaliSacd.JamharatMalikiyya
151969,8,Sham30K0033307-ara1.ms331,يسبق الي مثلها مات سنة اثنتين وعشرين وستماءة ومن شعره يا صاحبي وما البخيل بصاحبي هذي الخيام فاين تلك الادمع اتمر بالعرصات لا تبكي بها وهي المعاهد منهم والاربع يا سعد ما هذا المقام وقد ناوا اتقيم من بعد القلوب الاضلع هيهات لا ريح الطواعج بعدهم رهوا ولا طير الصبابة دمع اورد ,False,1450QasimCaliSacd.JamharatMalikiyya
151971,8,Sham19Y0020990-ara1.ms0715,وابي الهوي الا الحلول بلعلع ويح المطايا اين منها لعلع لم ادر اين ثووا فلم اسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه منهم رقة وتضوع واذا منحتهم السلام تبادرت تبليغه عني الرياح الاربع علي بن عبد الله بن ورياش بن المبارك بن يوسف بن موسي بن يزكوك ابو الحسن الوهراني الانصاري نزيل دمشق ,False,0654IbnShaccarMawsili.Qalaid
151971,8,Shamela0006633-ara1.completed.ms302,وابي الهوي الا الحلول بلعلع ويح المطايا ابن منها لعلع لم يدر اين ثووا فلم يسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه منهم رقت تتضوع فاذا منحتهم السلام تبادرت تبليغه عني الرياح الربع ,False,0685IbnSacidMaghribi.Mughrib
151971,8,Shamela0001003-ara1.completed.ms518,وابي الهوي الا الحلول بلعلع ويح المطايا اين منها لعلع لم ادر اين ثووا فلم اسال بهم ريحا تهب ولا بريقا يلمع وكانهم في كل مدرج ناسم فعليه مني رقة وتضرع فاذا منحتهم السلام تبادرت تبليغه عني الرياح الاربع ابن نبيه الشاعر علي بن محمد بن الحسن بن ,False,0764IbnShakirKutubi.FawatWafayat
