,Distinct count
082,5
045,5
053,5
043,6
052,7
072,7
039,8
085,8
068,8
010,9
046,9
057,9
084,9
042,9
074,10
054,10
056,10
067,10
058,10
051,10
079,11
036,11
044,11
083,11
086,11
099,11
069,11
033,11
037,11
065,11
078,12
049,12
047,12
022,12
064,12
066,12
063,12
081,13
031,13
092,13
026,13
093,14
094,14
075,14
077,14
038,14
098,15
040,15
032,15
073,15
023,15
071,15
028,16
041,16
030,16
029,16
024,16
097,16
021,16
070,17
076,17
059,17
025,17
089,17
080,18
050,18
055,18
095,18
035,18
034,18
020,19
048,19
027,19
006,20
087,20
061,20
088,20
062,22
091,23
002,23
096,24
008,27
001,27
009,28
007,28
004,29
060,30
005,31
003,31
090,32
