,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,412.5,0,0,0,0,0
1,2,825,987.5,0,0,0,0,0
2,3,1150,1308.0,0,0,0,0,0
3,4,1466,1624.0,0,0,0,0,0
4,5,1782,1937.5,0,0,0,0,0
5,6,2093,2248.5,0,0,0,0,0
6,7,2404,2565.5,0,0,0,0,0
7,8,2727,2888.0,0,0,0,0,0
8,9,3049,3217.5,0,0,0,0,0
9,10,3386,3552.5,0,0,0,0,0
10,11,3719,3883.0,0,0,0,0,0
11,12,4047,4203.0,0,0,0,0,0
12,13,4359,4517.0,0,0,0,0,0
13,14,4675,4836.0,0,0,0,0,0
14,15,4997,5158.0,0,0,0,0,0
15,16,5319,5486.5,0,0,0,0,0
16,17,5654,5818.0,0,0,0,0,0
17,18,5982,6138.0,0,0,0,0,0
18,19,6294,6460.0,0,0,0,0,0
19,20,6626,6786.5,0,0,0,0,0
20,21,6947,7108.0,0,0,0,0,0
21,22,7269,7430.5,0,0,0,0,0
22,23,7592,7757.5,0,0,0,0,0
23,24,7923,8096.0,0,0,0,0,0
24,25,8269,8451.0,0,1,0,1,1
25,26,8633,8800.0,0,1,0,0,1
26,27,8967,9124.0,0,0,0,0,0
27,28,9281,9462.5,0,0,1,1,2
28,29,9644,9820.5,0,1,1,0,2
29,30,9997,10180.5,0,1,1,1,1
30,31,10364,10545.5,0,1,0,0,4
31,32,10727,10912.0,0,0,2,2,1
32,33,11097,11261.5,2,0,0,0,2
33,34,11426,11594.0,0,0,0,0,1
34,35,11762,11921.0,0,0,0,0,0
35,36,12080,12249.0,0,0,0,0,0
36,37,12418,12586.5,0,0,0,0,0
37,38,12755,12922.5,1,4,0,0,0
38,39,13090,13258.5,0,0,0,0,0
39,40,13427,13594.0,0,0,0,0,0
40,41,13761,13927.5,0,0,0,0,0
41,42,14094,14255.5,0,0,0,0,0
42,43,14417,14583.0,0,0,0,0,0
43,44,14749,14908.5,0,0,0,0,0
44,45,15068,15233.0,0,0,0,0,0
45,46,15398,15566.0,0,0,0,0,0
46,47,15734,15901.5,0,0,0,0,0
47,48,16069,16235.5,0,0,0,0,0
48,49,16402,16564.5,0,0,0,0,0
49,50,16727,16887.5,0,0,0,0,0
50,51,17048,17210.0,0,0,0,0,0
51,52,17372,17536.5,0,0,0,0,0
52,53,17701,17861.5,0,0,0,0,0
53,54,18022,18185.0,0,0,0,0,0
54,55,18348,18514.0,0,0,0,0,0
55,56,18680,18845.5,1,0,0,0,0
56,57,19011,19180.0,0,0,0,0,0
57,58,19349,19511.5,0,0,0,0,0
58,59,19674,19834.5,0,0,0,0,0
59,60,19995,20155.0,0,0,0,0,0
60,61,20315,20480.0,0,0,0,0,0
61,62,20645,20811.0,0,0,0,0,0
62,63,20977,21137.0,0,0,0,0,0
63,64,21297,21465.5,0,0,0,0,0
64,65,21634,21795.5,0,0,0,0,0
65,66,21957,22126.5,0,1,0,0,0
66,67,22296,22474.0,0,1,0,1,1
67,68,22652,22842.5,0,0,0,1,2
68,69,23033,23214.0,0,0,1,1,1
69,70,23395,23568.0,1,0,1,1,2
70,71,23741,23919.0,1,2,2,0,0
71,72,24097,24277.0,0,1,2,0,0
72,73,24457,24630.0,0,1,0,0,0
73,74,24803,24982.5,0,1,0,1,2
74,75,25162,25360.5,0,1,3,3,0
75,76,25559,25737.5,0,1,0,1,1
76,77,25916,26087.0,0,1,0,0,1
77,78,26258,26415.0,2,1,0,0,0
78,79,26572,26732.5,0,1,0,0,0
79,80,26893,27087.5,1,0,0,1,5
80,81,27282,27462.0,0,0,0,0,1
81,82,27642,27805.0,0,0,0,0,2
82,83,27968,28143.0,0,0,0,1,1
83,84,28318,28497.0,0,0,0,2,2
84,85,28676,28857.0,2,0,0,0,2
85,86,29038,29227.0,0,2,1,1,1
86,87,29416,29599.5,0,1,2,1,0
87,88,29783,29959.5,0,3,1,0,0
88,89,30136,30320.5,0,2,3,0,1
89,90,30505,30666.0,0,0,0,0,0
90,91,30827,30983.5,0,0,0,0,0
91,92,31140,31300.0,0,0,0,0,0
92,93,31460,31617.5,0,0,0,0,0
93,94,31775,31934.0,0,0,1,0,0
94,95,32093,32248.5,0,0,0,0,0
95,96,32404,32566.5,0,0,2,0,0
96,97,32729,32896.0,2,0,1,0,1
97,98,33063,33257.0,1,1,7,0,0
98,99,33451,33636.0,0,0,0,1,3
99,100,33821,34006.0,0,1,0,0,1
100,101,34191,34358.5,0,1,0,0,0
101,102,34526,34707.0,0,0,3,1,1
102,103,34888,35083.5,0,2,1,1,0
103,104,35279,35464.5,0,1,2,4,1
104,105,35650,35814.5,0,0,0,2,0
105,106,35979,36163.5,0,2,0,1,4
106,107,36348,36539.0,0,0,1,0,1
107,108,36730,36916.0,1,3,0,0,1
108,109,37102,37269.0,0,0,0,0,0
109,110,37436,37599.0,0,0,0,0,0
110,111,37762,37924.0,0,0,0,0,0
111,112,38086,38249.5,0,0,0,0,0
112,113,38413,38593.5,0,0,2,2,1
113,114,38774,38951.5,1,1,2,0,0
114,115,39129,39305.5,0,1,1,1,1
115,116,39482,39649.0,0,1,0,0,0
116,117,39816,40005.5,2,2,2,0,1
117,118,40195,40373.0,0,1,2,0,0
118,119,40551,40733.0,0,1,1,2,0
119,120,40915,41100.5,0,0,2,2,0
120,121,41286,41446.0,0,0,0,0,0
121,122,41606,41776.0,2,0,0,0,0
122,123,41946,42104.0,0,0,0,0,0
123,124,42262,42432.0,0,3,0,0,0
124,125,42602,42764.0,1,1,0,0,0
125,126,42926,43084.5,0,0,0,0,0
126,127,43243,43424.0,1,0,0,2,1
127,128,43605,43800.5,0,0,1,3,2
128,129,43996,44191.5,0,1,0,2,1
129,130,44387,44570.5,0,0,1,1,3
130,131,44754,44935.0,1,1,0,1,1
131,132,45116,45314.0,0,1,0,3,1
132,133,45512,45695.0,0,1,1,0,2
133,134,45878,46043.0,0,0,1,1,1
134,135,46208,46378.0,0,0,1,0,4
135,136,46548,46742.5,0,0,1,3,2
136,137,46937,47116.5,0,0,1,1,2
137,138,47296,47476.5,0,1,0,1,1
138,139,47657,47847.0,0,0,1,3,4
139,140,48037,48227.5,0,0,1,2,3
140,141,48418,48598.0,0,0,0,1,0
141,142,48778,48959.5,0,0,3,1,0
142,143,49141,49320.0,0,0,1,2,0
143,144,49499,49665.0,0,1,0,1,0
144,145,49831,50019.5,0,1,0,1,3
145,146,50208,50382.0,1,2,0,0,0
146,147,50556,50715.5,1,1,0,0,0
147,148,50875,51037.5,0,0,0,0,0
148,149,51200,51368.5,3,0,0,0,0
149,150,51537,51696.0,0,0,0,0,0
150,151,51855,52019.5,0,1,0,0,0
151,152,52184,52358.5,0,0,0,0,0
152,153,52533,52710.5,0,1,0,1,0
153,154,52888,53063.5,2,0,0,1,1
154,155,53239,53433.0,1,1,1,2,5
155,156,53627,53799.0,0,0,1,0,1
156,157,53971,54156.0,0,0,1,3,1
157,158,54341,54512.5,0,0,1,0,1
158,159,54684,54879.5,0,3,1,3,0
159,160,55075,55270.0,0,2,0,1,0
160,161,55465,55638.5,0,1,0,2,1
161,162,55812,55974.0,0,0,0,1,0
162,163,56136,56307.0,0,1,0,0,1
163,164,56478,56655.0,1,1,0,1,1
164,165,56832,57011.0,0,1,0,1,2
165,166,57190,57379.0,2,2,1,0,1
166,167,57568,57754.5,0,1,0,0,1
167,168,57941,58122.5,1,1,3,0,1
168,169,58304,58482.5,1,0,1,1,3
169,170,58661,58830.5,0,0,0,1,0
170,171,59000,59169.5,0,0,1,0,0
171,172,59339,59512.0,1,0,1,1,1
172,173,59685,59857.5,0,1,1,0,0
173,174,60030,60201.0,1,1,0,1,0
174,175,60372,60532.5,1,0,0,0,2
175,176,60693,60869.0,0,0,0,1,1
176,177,61045,61207.5,0,0,0,0,0
177,178,61370,61534.0,0,0,0,0,0
178,179,61698,61856.0,0,0,0,0,0
179,180,62014,62183.5,0,0,0,0,0
180,181,62353,62532.0,0,0,0,2,0
181,182,62711,62900.5,0,0,2,1,3
182,183,63090,63263.5,0,0,0,4,0
183,184,63437,63603.0,0,0,0,0,2
184,185,63769,63966.0,0,2,1,3,3
185,186,64163,64347.0,0,2,0,1,1
186,187,64531,64705.5,0,1,0,1,1
187,188,64880,65052.5,0,0,0,0,3
188,189,65225,65394.0,2,0,1,0,0
189,190,65563,65732.0,0,0,1,0,0
190,191,65901,66062.5,0,0,0,0,0
191,192,66224,66393.5,0,0,0,0,0
192,193,66563,66740.0,0,0,1,2,1
193,194,66917,67074.5,1,0,0,0,1
194,195,67232,67400.0,0,0,2,0,0
195,196,67568,67736.0,0,0,0,1,0
196,197,67904,68083.5,2,0,0,1,2
197,198,68263,68461.5,0,1,4,0,1
198,199,68660,68853.0,0,2,3,0,1
199,200,69046,69233.0,1,1,3,1,1
200,201,69420,69592.5,0,1,0,0,1
201,202,69765,69938.5,2,1,0,1,0
202,203,70112,70284.5,1,0,0,0,3
203,204,70457,70632.5,1,0,0,3,3
204,205,70808,70973.0,1,2,0,0,1
205,206,71138,71302.0,0,1,0,0,0
206,207,71466,71641.5,0,0,1,1,0
207,208,71817,71996.0,0,0,0,0,1
208,209,72175,72347.5,0,0,1,1,2
209,210,72520,72708.0,1,1,0,1,4
210,211,72896,73065.0,2,0,0,0,0
211,212,73234,73404.5,0,1,0,2,1
212,213,73575,73743.5,0,0,1,0,0
213,214,73912,74083.0,0,0,0,1,0
214,215,74254,74426.5,0,0,0,1,0
215,216,74599,74776.5,0,1,0,0,0
216,217,74954,75123.0,1,0,0,0,2
217,218,75292,75446.0,1,0,0,0,0
218,219,75600,75766.5,1,0,0,0,1
219,220,75933,76101.0,0,0,0,0,1
220,221,76269,76440.5,0,0,0,1,1
221,222,76612,76785.0,0,0,0,1,1
222,223,76958,77141.5,0,3,1,1,0
223,224,77325,77492.5,1,1,0,0,1
224,225,77660,77842.0,0,4,0,0,0
225,226,78024,78187.0,0,1,0,0,0
226,227,78350,78515.5,0,0,0,0,0
227,228,78681,78849.5,0,1,0,0,0
228,229,79018,79198.5,0,0,1,1,2
229,230,79379,79559.5,0,0,0,0,3
230,231,79740,79904.0,2,0,0,0,3
231,232,80068,80236.5,0,0,0,2,0
232,233,80405,80590.5,1,0,1,0,4
233,234,80776,80934.5,2,0,0,0,1
234,235,81093,81251.5,1,0,0,0,1
235,236,81410,81603.5,1,0,1,2,3
236,237,81797,81963.0,0,0,0,0,3
237,238,82129,82306.5,0,0,0,0,4
238,239,82484,82654.0,0,0,1,0,2
239,240,82824,82999.0,0,0,0,2,2
240,241,83174,83363.5,0,1,0,1,4
241,242,83553,83737.5,0,0,0,3,1
242,243,83922,84094.5,0,0,0,0,0
243,244,84267,84425.5,0,0,0,0,0
244,245,84584,84744.5,0,0,0,0,0
245,246,84905,85068.0,0,1,0,0,0
246,247,85231,85404.0,0,0,0,0,0
247,248,85577,85738.0,0,0,0,0,0
248,249,85899,86070.5,0,3,0,0,0
249,250,86242,86403.5,0,1,0,0,0
250,251,86565,86727.5,0,2,0,0,0
251,252,86890,87057.5,0,0,0,0,0
252,253,87225,87389.0,0,0,0,0,0
253,254,87553,87727.0,0,0,0,0,0
254,255,87901,88083.0,0,1,0,1,1
255,256,88265,88443.5,0,0,2,3,0
256,257,88622,88803.5,0,1,1,0,0
257,258,88985,89144.5,1,0,0,0,1
258,259,89304,89473.5,0,0,0,1,2
259,260,89643,89827.0,3,0,0,0,2
260,261,90011,90193.5,0,0,1,0,2
261,262,90376,90535.0,0,0,0,0,0
262,263,90694,90853.5,0,0,1,0,0
263,264,91013,91171.5,0,0,0,0,0
264,265,91330,91501.0,1,1,1,0,0
265,266,91672,91832.0,0,0,0,0,0
