,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,239.0,0,0,0,0,0
1,2,478,632.0,1,0,0,0,0
2,3,786,941.5,0,0,0,0,0
3,4,1097,1251.0,0,0,0,0,0
4,5,1405,1557.0,0,0,0,0,0
5,6,1709,1863.5,0,0,0,0,0
6,7,2018,2173.0,0,0,0,0,0
7,8,2328,2485.5,0,0,0,0,0
8,9,2643,2795.5,0,0,0,0,0
9,10,2948,3102.0,0,0,0,0,0
10,11,3256,3412.0,0,0,0,0,0
11,12,3568,3723.0,0,0,0,0,0
12,13,3878,4034.0,0,0,0,0,0
13,14,4190,4345.5,0,0,0,0,0
14,15,4501,4661.0,5,0,0,0,0
15,16,4821,4976.0,0,0,0,0,0
16,17,5131,5287.0,0,0,0,0,0
17,18,5443,5598.5,0,0,0,0,0
18,19,5754,5916.0,0,0,0,0,0
19,20,6078,6257.5,0,0,0,0,0
20,21,6437,6595.0,0,0,0,0,0
21,22,6753,6911.5,0,0,0,0,0
22,23,7070,7225.0,0,0,0,0,0
23,24,7380,7538.0,0,0,0,0,0
24,25,7696,7850.0,0,0,0,0,0
25,26,8004,8160.0,0,0,0,0,0
26,27,8316,8474.0,0,0,0,0,0
27,28,8632,8787.5,0,0,0,0,0
28,29,8943,9097.5,0,0,0,0,0
29,30,9252,9406.5,0,0,0,0,0
30,31,9561,9729.0,0,0,0,0,0
31,32,9897,10056.5,0,0,1,0,0
32,33,10216,10372.5,0,0,1,0,0
33,34,10529,10687.5,2,5,1,0,0
34,35,10846,11002.0,0,0,0,0,0
35,36,11158,11311.5,0,0,0,0,0
36,37,11465,11619.5,0,0,0,0,0
37,38,11774,11947.0,0,0,0,0,0
38,39,12120,12317.5,0,0,0,0,0
39,40,12515,12671.5,1,1,0,0,0
40,41,12828,12983.5,0,0,0,0,0
41,42,13139,13294.5,0,0,0,0,0
42,43,13450,13602.5,0,0,0,0,0
43,44,13755,13909.5,0,0,0,0,0
44,45,14064,14222.5,0,1,0,0,0
45,46,14381,14540.0,0,0,0,0,0
46,47,14699,14854.5,1,0,0,0,0
47,48,15010,15165.5,1,0,0,0,0
48,49,15321,15478.5,4,0,0,0,0
49,50,15636,15791.0,1,0,0,0,0
50,51,15946,16102.5,4,0,0,0,0
51,52,16259,16414.5,2,1,2,0,0
52,53,16570,16728.0,1,1,0,0,0
53,54,16886,17046.0,0,0,0,0,0
54,55,17206,17361.0,0,0,0,0,0
55,56,17516,17677.5,4,0,0,0,0
56,57,17839,17995.5,2,0,0,0,0
57,58,18152,18308.5,2,0,0,0,0
58,59,18465,18626.0,3,0,0,0,0
59,60,18787,18941.5,3,0,0,0,0
60,61,19096,19248.5,1,0,0,0,0
61,62,19401,19557.0,2,0,0,0,0
62,63,19713,19874.0,4,0,0,0,0
63,64,20035,20194.5,3,0,0,0,0
64,65,20354,20512.5,2,0,0,0,0
65,66,20671,20826.5,2,0,0,0,0
66,67,20982,21139.5,2,0,0,0,0
67,68,21297,21449.5,0,0,0,0,0
68,69,21602,21757.0,1,0,0,0,0
69,70,21912,22069.5,1,0,0,0,0
70,71,22227,22381.5,2,0,0,0,0
71,72,22536,22692.0,1,0,0,0,0
72,73,22848,23003.0,2,0,0,0,0
73,74,23158,23322.5,1,0,0,0,0
74,75,23487,23641.5,2,0,0,0,0
75,76,23796,23949.5,0,0,0,0,0
76,77,24103,24258.0,0,0,0,0,0
77,78,24413,24570.5,2,0,0,0,0
78,79,24728,24884.5,0,0,0,0,0
79,80,25041,25196.5,0,0,0,0,0
80,81,25352,25509.0,2,0,0,0,0
81,82,25666,25830.5,0,0,0,0,0
82,83,25995,26148.5,1,0,0,0,0
83,84,26302,26454.5,0,0,0,0,0
84,85,26607,26764.0,0,0,0,0,0
85,86,26921,27073.0,0,0,0,0,0
86,87,27225,27381.0,1,0,0,0,0
87,88,27537,27693.0,1,0,0,0,0
88,89,27849,28002.5,0,0,0,0,0
89,90,28156,28310.5,0,0,0,0,0
90,91,28465,28625.0,3,0,0,0,0
91,92,28785,28944.0,1,0,0,0,0
92,93,29103,29261.5,1,0,0,0,0
93,94,29420,29576.0,0,0,0,0,0
94,95,29732,29892.0,4,0,0,0,0
95,96,30052,30217.5,2,0,0,0,0
96,97,30383,30540.5,2,0,0,0,0
97,98,30698,30861.5,5,0,0,0,0
98,99,31025,31185.0,2,0,0,0,0
99,100,31345,31503.0,2,0,0,0,0
100,101,31661,31823.5,3,0,0,0,0
101,102,31986,32148.5,2,0,0,0,0
102,103,32311,32475.0,2,0,0,0,0
103,104,32639,32803.0,4,0,0,0,0
104,105,32967,33126.0,3,0,0,0,0
105,106,33285,33452.5,1,0,0,0,0
106,107,33620,33782.0,2,0,0,0,0
107,108,33944,34106.0,2,0,0,0,0
108,109,34268,34426.0,2,0,0,0,0
109,110,34584,34744.0,1,0,0,0,0
110,111,34904,35061.0,2,0,0,0,0
111,112,35218,35381.5,3,0,0,0,0
112,113,35545,35707.5,1,0,0,0,0
113,114,35870,36030.5,0,0,0,0,0
114,115,36191,36356.5,1,0,0,0,0
115,116,36522,36684.5,4,0,0,0,0
116,117,36847,37009.0,2,0,0,0,0
117,118,37171,37330.5,0,0,0,0,0
118,119,37490,37652.0,2,0,0,0,0
119,120,37814,37975.0,2,0,0,0,0
120,121,38136,38294.5,1,0,0,0,0
121,122,38453,38616.5,1,0,0,0,0
122,123,38780,38937.0,2,0,0,0,0
123,124,39094,39253.5,1,0,0,0,0
124,125,39413,39566.5,1,0,0,0,0
125,126,39720,39880.0,1,0,0,0,0
126,127,40040,40202.5,3,0,0,0,0
127,128,40365,40523.0,1,0,0,0,0
128,129,40681,40836.0,2,0,0,0,0
129,130,40991,41148.0,1,0,0,0,0
130,131,41305,41461.5,2,0,0,0,0
131,132,41618,41774.5,0,0,0,0,0
132,133,41931,42099.0,2,0,0,0,0
133,134,42267,42426.0,1,0,0,0,0
