,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,77.5,0,0,0,0,0
1,2,155,159.5,0,0,0,0,0
2,3,164,1068.0,1,0,0,0,0
3,4,1972,1979.5,0,0,0,0,0
4,5,1987,2120.0,0,0,0,0,0
5,6,2253,3111.5,0,0,0,0,0
6,7,3970,4101.0,0,0,0,0,0
7,8,4232,4331.0,0,0,0,0,0
8,9,4430,4445.0,0,0,0,0,0
9,10,4460,4493.5,0,0,0,0,0
10,11,4527,4564.0,0,0,0,0,0
11,12,4601,4621.5,0,0,0,0,0
12,13,4642,4678.0,0,0,0,0,0
13,14,4714,4802.0,0,0,0,0,0
14,15,4890,4905.0,0,0,0,0,0
15,16,4920,4976.0,0,0,0,0,0
16,17,5032,5050.5,0,0,0,0,0
17,18,5069,5081.5,0,0,0,0,0
18,19,5094,5126.5,0,0,0,0,0
19,20,5159,5187.0,0,0,0,0,0
20,21,5215,5296.0,0,0,0,0,0
21,22,5377,5385.0,0,0,0,0,0
22,23,5393,5399.5,0,0,0,0,0
23,24,5406,5420.5,0,0,0,0,0
24,25,5435,5446.5,0,0,0,0,0
25,26,5458,5472.0,0,0,0,0,0
26,27,5486,5499.0,0,0,0,0,0
27,28,5512,5568.0,0,0,0,0,1
28,29,5624,6066.5,0,0,0,0,0
29,30,6509,7230.5,0,0,0,0,1
30,31,7952,7953.5,0,0,0,0,0
31,32,7955,9984.5,0,0,0,0,0
32,33,12014,12023.0,0,0,0,0,0
33,34,12032,12039.0,0,0,0,0,0
34,35,12046,13430.0,0,0,0,0,0
35,36,14814,15352.5,0,0,0,0,0
36,37,15891,15913.5,0,0,0,0,0
37,38,15936,16313.0,0,0,0,0,0
38,39,16690,17142.0,0,0,0,0,0
39,40,17594,18039.0,0,0,0,0,0
40,41,18484,18488.5,0,0,0,0,0
41,42,18493,18497.5,0,0,0,0,0
42,43,18502,18508.5,0,0,0,0,0
43,44,18515,18821.0,0,0,0,0,0
44,45,19127,19276.5,0,0,0,0,0
45,46,19426,19445.5,0,0,0,0,0
46,47,19465,19477.0,0,0,0,0,0
47,48,19489,19585.5,0,0,0,0,0
48,49,19682,19731.0,0,0,0,0,0
49,50,19780,19828.5,0,0,0,0,0
50,51,19877,19898.5,0,0,0,0,0
51,52,19920,19952.0,0,0,0,0,0
52,53,19984,20000.0,0,0,0,0,0
53,54,20016,20257.5,0,0,0,0,0
54,55,20499,20504.0,0,0,0,0,0
55,56,20509,20989.5,0,0,0,0,0
56,57,21470,21497.0,0,0,0,0,0
57,58,21524,22526.0,0,0,0,0,0
58,59,23528,23664.5,0,0,0,0,0
59,60,23801,23904.0,0,0,0,0,0
60,61,24007,24069.5,0,0,0,0,0
61,62,24132,24789.0,0,0,0,0,0
62,63,25446,25457.0,0,0,0,0,0
63,64,25468,25610.5,0,0,0,0,0
64,65,25753,27068.0,2,0,2,0,8
65,66,28383,28391.5,0,0,0,0,0
66,67,28400,28849.0,0,0,0,0,0
67,68,29298,30111.5,0,0,0,0,0
68,69,30925,30934.0,0,0,0,0,0
69,70,30943,30979.5,0,0,0,0,0
70,71,31016,31074.0,0,0,0,0,0
71,72,31132,31233.0,0,0,0,0,0
72,73,31334,31399.5,0,0,0,0,0
73,74,31465,31594.5,0,0,0,0,0
74,75,31724,32337.5,0,0,0,0,0
75,76,32951,33103.0,0,0,0,0,0
76,77,33255,33705.0,0,0,4,4,1
77,78,34155,34631.5,0,0,0,0,0
78,79,35108,35267.5,0,0,0,0,0
79,80,35427,35543.0,0,0,0,0,0
80,81,35659,35801.0,0,0,0,0,0
81,82,35943,35968.0,0,0,0,0,0
82,83,35993,35998.5,0,0,0,0,0
83,84,36004,36096.0,0,0,0,0,0
84,85,36188,36269.0,0,0,0,0,0
85,86,36350,36399.0,0,0,0,0,0
86,87,36448,36504.0,0,0,0,0,0
87,88,36560,36609.0,0,0,0,0,0
88,89,36658,36749.0,0,0,0,0,0
89,90,36840,36855.5,0,0,0,0,0
90,91,36871,36965.5,0,0,0,0,0
91,92,37060,37131.0,0,0,0,0,0
92,93,37202,37219.5,0,0,0,0,0
93,94,37237,37264.0,0,0,0,0,0
94,95,37291,37307.5,0,0,0,0,0
95,96,37324,37352.5,0,0,0,0,0
96,97,37381,37385.0,0,0,0,0,0
97,98,37389,37519.5,0,0,0,0,0
98,99,37650,38019.5,0,0,0,0,0
99,100,38389,38397.5,0,0,0,0,0
100,101,38406,38413.5,0,0,0,0,0
101,102,38421,39316.5,0,0,0,0,0
102,103,40212,40222.0,0,0,0,0,0
103,104,40232,40240.0,0,0,0,0,0
104,105,40248,40253.0,0,0,0,0,0
105,106,40258,40456.0,0,0,0,0,0
106,107,40654,40743.5,0,0,0,0,0
107,108,40833,40842.0,0,0,0,0,0
108,109,40851,41189.0,0,0,0,0,0
109,110,41527,42302.5,0,0,0,0,0
110,111,43078,43265.0,0,0,0,0,0
111,112,43452,43604.0,0,0,0,0,0
112,113,43756,43827.5,0,0,0,0,0
113,114,43899,44150.5,0,0,0,0,0
