,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,265.0,0,0,0,0,0
1,2,530,533.0,0,0,0,0,0
2,3,536,1579.0,0,0,0,0,0
3,4,2622,2890.5,0,0,0,0,0
4,5,3159,3168.0,0,0,0,0,0
5,6,3177,3209.0,0,0,0,0,0
6,7,3241,3648.0,0,0,0,0,0
7,8,4055,4210.5,0,0,0,0,0
8,9,4366,4631.0,0,0,0,0,0
9,10,4896,5103.0,0,0,0,0,0
10,11,5310,5569.0,0,0,0,0,0
11,12,5828,6064.5,0,0,0,0,0
12,13,6301,6507.5,0,0,0,0,0
13,14,6714,6937.0,0,0,0,0,0
14,15,7160,7416.5,0,0,0,0,0
15,16,7673,7910.5,0,0,0,0,0
16,17,8148,8185.5,0,0,0,0,0
17,18,8223,8301.0,0,0,0,1,1
18,19,8379,8436.5,0,1,0,0,0
19,20,8494,8507.5,0,0,0,0,0
20,21,8521,8532.0,0,0,0,0,0
21,22,8543,8621.0,0,1,0,0,0
22,23,8699,8989.5,0,0,0,0,2
23,24,9280,9285.5,0,0,0,0,0
24,25,9291,9473.5,0,0,1,1,1
25,26,9656,9706.0,0,0,0,0,2
26,27,9756,9878.5,0,1,1,0,0
27,28,10001,10043.0,0,1,0,0,0
28,29,10085,10148.0,0,0,0,1,1
29,30,10211,10262.0,0,0,1,0,0
30,31,10313,10328.0,0,0,0,0,0
31,32,10343,10433.5,0,1,0,0,1
32,33,10524,10585.0,0,0,0,0,3
33,34,10646,10676.5,0,0,0,0,0
34,35,10707,10724.0,0,0,0,0,1
35,36,10741,10804.5,0,0,2,0,0
36,37,10868,10902.0,0,0,0,1,0
37,38,10936,11053.0,0,0,0,1,1
38,39,11170,11343.5,2,0,0,0,2
39,40,11517,11547.0,0,0,0,0,0
40,41,11577,11867.0,0,0,0,0,0
41,42,12157,12382.5,0,0,0,0,0
42,43,12608,12725.5,0,0,0,0,0
43,44,12843,12970.5,1,4,0,0,0
44,45,13098,13191.0,0,0,0,0,0
45,46,13284,13385.0,0,0,0,0,0
46,47,13486,13754.5,0,0,0,0,0
47,48,14023,14348.0,0,0,0,0,0
48,49,14673,14886.5,0,0,0,0,0
49,50,15100,15444.0,0,0,0,0,0
50,51,15788,16243.0,0,0,0,0,0
51,52,16698,17136.0,0,0,0,0,0
52,53,17574,17796.5,0,0,0,0,0
53,54,18019,18373.5,0,0,0,0,0
54,55,18728,18948.5,1,0,0,0,0
55,56,19169,19827.5,0,0,0,0,0
56,57,20486,20587.5,0,0,0,0,0
57,58,20689,21408.0,0,0,0,0,0
58,59,22127,22253.5,0,2,0,0,0
59,60,22380,22424.0,0,0,0,1,1
60,61,22468,22485.0,0,0,0,0,0
61,62,22502,22531.5,0,0,0,0,0
62,63,22561,22575.0,0,0,0,0,0
63,64,22589,22621.0,0,0,0,0,1
64,65,22653,22678.5,0,0,0,0,0
65,66,22704,22742.5,0,0,0,0,0
66,67,22781,22806.5,0,0,0,1,0
67,68,22832,22854.5,0,0,0,0,0
68,69,22877,22908.0,0,0,0,0,1
69,70,22939,23010.0,0,0,0,1,1
70,71,23081,23161.5,0,0,0,0,0
71,72,23242,23268.5,0,0,1,0,0
72,73,23295,23324.5,0,0,0,0,0
73,74,23354,23401.5,0,0,0,1,1
74,75,23449,23473.0,0,0,0,0,1
75,76,23497,23683.0,2,0,2,0,0
76,77,23869,23891.5,0,1,0,0,0
77,78,23914,23935.0,0,0,1,0,0
78,79,23956,23980.0,0,1,0,0,0
79,80,24004,24045.5,0,0,1,0,0
80,81,24087,24108.5,0,1,0,0,0
81,82,24130,24155.0,0,0,1,0,0
82,83,24180,24302.5,0,0,0,0,0
83,84,24425,24558.0,0,1,0,0,0
84,85,24691,24721.0,0,0,0,0,1
85,86,24751,24869.0,0,1,0,0,0
86,87,24987,25015.0,0,0,0,1,1
87,88,25043,25105.0,0,0,1,0,0
88,89,25167,25172.5,0,0,0,0,0
89,90,25178,25182.5,0,0,0,0,0
90,91,25187,25225.5,0,0,0,2,0
91,92,25264,25281.5,0,1,0,0,0
92,93,25299,25318.0,0,0,1,0,0
93,94,25337,25436.5,0,0,1,2,0
94,95,25536,25649.5,0,1,0,0,0
95,96,25763,25789.5,0,0,0,0,1
96,97,25816,25922.5,0,0,0,0,0
97,98,26029,26080.5,0,0,0,0,1
98,99,26132,26475.0,2,3,0,0,0
99,100,26818,26841.5,0,0,0,0,0
100,101,26865,26908.5,0,0,0,1,1
101,102,26952,26987.0,0,0,0,0,1
102,103,27022,27057.0,0,0,0,0,0
103,104,27092,27104.5,0,0,0,0,1
104,105,27117,27207.0,1,0,0,0,2
105,106,27297,27386.0,0,0,0,0,0
106,107,27475,27510.0,0,0,0,0,1
107,108,27545,27692.0,0,0,0,0,2
108,109,27839,27896.0,0,0,0,0,0
109,110,27953,28050.5,0,0,0,0,1
110,111,28148,28197.0,0,0,0,1,1
111,112,28246,28322.5,0,0,0,1,1
112,113,28399,28440.0,0,0,0,1,0
113,114,28481,28552.0,1,0,0,0,0
114,115,28623,28749.5,1,0,0,0,1
115,116,28876,28899.5,0,0,0,0,1
116,117,28923,29052.5,0,0,0,1,1
117,118,29182,29217.5,0,2,0,0,0
118,119,29253,29281.5,0,0,1,0,0
119,120,29310,29373.0,0,0,0,1,0
120,121,29436,29466.0,0,0,1,0,0
121,122,29496,29534.5,0,0,1,0,0
122,123,29573,29604.5,0,0,0,0,0
123,124,29636,29653.5,0,1,0,0,0
124,125,29671,29803.5,0,3,0,0,0
125,126,29936,29957.0,0,0,0,0,0
126,127,29978,30000.0,0,0,1,0,0
127,128,30022,30051.0,0,0,1,0,0
128,129,30080,30128.5,0,0,0,0,1
129,130,30177,30191.5,0,1,0,0,0
130,131,30206,30247.5,0,1,0,0,0
131,132,30289,30328.5,0,0,1,0,0
132,133,30368,30520.0,0,0,1,0,0
133,134,30672,30971.0,0,0,0,0,0
134,135,31270,31583.0,0,0,1,0,0
135,136,31896,32120.0,0,0,0,0,0
136,137,32344,32608.0,2,0,3,0,0
137,138,32872,32895.5,0,0,0,0,1
138,139,32919,32991.0,1,0,2,0,0
139,140,33063,33090.0,0,0,1,0,0
140,141,33117,33135.5,0,0,1,0,0
141,142,33154,33170.5,0,0,1,0,0
142,143,33187,33235.0,0,0,2,0,0
143,144,33283,33302.5,0,1,0,0,0
144,145,33322,33349.0,0,0,0,0,1
145,146,33376,33468.5,0,0,0,0,2
146,147,33561,33583.5,0,0,0,0,0
147,148,33606,33669.0,0,0,0,1,0
148,149,33732,33830.5,0,1,0,0,0
149,150,33929,33957.0,0,0,0,0,0
150,151,33985,33998.0,0,0,0,0,0
151,152,34011,34208.5,0,1,0,0,1
152,153,34406,34453.5,0,0,0,1,1
153,154,34501,34566.0,0,0,2,0,0
154,155,34631,34654.0,0,0,0,0,0
155,156,34677,34699.5,0,0,1,0,0
156,157,34722,34761.5,0,0,0,0,0
157,158,34801,34840.0,0,1,0,0,0
158,159,34879,34902.0,0,0,0,0,0
159,160,34925,34958.5,0,0,1,1,0
160,161,34992,35043.0,0,1,0,0,0
161,162,35094,35120.0,0,0,0,0,0
162,163,35146,35176.5,0,0,0,1,0
163,164,35207,35230.5,0,1,0,0,0
164,165,35254,35284.0,0,0,0,1,1
165,166,35314,35344.5,0,0,2,0,0
166,167,35375,35604.0,0,0,0,4,0
167,168,35833,35865.0,0,0,0,0,2
168,169,35897,35933.5,0,1,0,0,0
169,170,35970,36003.0,0,1,0,0,0
170,171,36036,36119.5,0,0,0,1,1
171,172,36203,36273.5,0,0,0,0,2
172,173,36344,36373.5,0,0,0,0,0
173,174,36403,36430.0,0,0,0,0,0
174,175,36457,36493.0,0,0,0,0,0
175,176,36529,36553.5,0,0,1,0,0
176,177,36578,36583.5,0,0,0,0,0
177,178,36589,36628.5,0,1,0,0,0
178,179,36668,36688.5,0,0,0,0,0
179,180,36709,36734.0,0,0,0,0,0
180,181,36759,36798.0,0,1,0,0,1
181,182,36837,36875.5,1,1,0,0,0
182,183,36914,37031.5,0,0,0,0,0
183,184,37149,37392.5,0,0,0,0,0
184,185,37636,37922.0,0,0,0,0,0
185,186,38208,38301.5,0,0,0,1,1
186,187,38395,38417.0,0,0,0,0,0
187,188,38439,38477.5,0,0,1,1,0
188,189,38516,38651.0,1,0,3,0,0
189,190,38786,38809.5,0,1,0,0,0
190,191,38833,38881.5,0,0,0,0,0
191,192,38930,39028.5,0,0,0,0,0
192,193,39127,39159.0,0,1,1,0,0
193,194,39191,39310.5,0,0,0,1,1
194,195,39430,39582.5,2,2,0,0,0
195,196,39735,39803.0,0,1,0,0,0
196,197,39871,39891.5,0,0,1,0,0
197,198,39912,39927.0,0,0,0,0,1
198,199,39942,39963.0,0,0,1,0,0
199,200,39984,40049.0,0,0,1,0,0
200,201,40114,40128.0,0,1,0,0,0
201,202,40142,40154.0,0,0,0,0,0
202,203,40166,40198.5,0,0,0,0,0
203,204,40231,40377.5,0,0,1,1,0
204,205,40524,40589.5,0,0,1,1,0
205,206,40655,40679.5,0,1,0,0,0
206,207,40704,40755.0,0,0,0,0,0
207,208,40806,40860.5,0,0,0,0,0
208,209,40915,40970.5,0,0,2,0,0
209,210,41026,41071.0,0,0,0,2,0
210,211,41116,41397.5,2,0,0,0,0
211,212,41679,41996.0,0,1,0,0,0
212,213,42313,42329.0,0,0,0,0,0
213,214,42345,42485.5,1,3,0,0,0
214,215,42626,42911.0,0,0,0,0,0
215,216,43196,43256.5,1,0,0,0,0
216,217,43317,43370.0,0,0,0,2,0
217,218,43423,43452.5,0,0,0,0,1
218,219,43482,43514.0,0,0,1,0,0
219,220,43546,43558.5,0,0,0,0,0
220,221,43571,43609.0,0,0,0,1,1
221,222,43647,43687.0,0,0,0,0,1
222,223,43727,43754.5,0,0,0,0,0
223,224,43782,43827.0,0,0,0,2,0
224,225,43872,43891.0,0,0,0,0,0
225,226,43910,43932.0,0,0,0,0,0
226,227,43954,44004.0,0,0,0,1,1
227,228,44054,44090.0,0,1,0,0,0
228,229,44126,44182.0,0,0,0,1,0
229,230,44238,44318.0,0,0,0,0,1
230,231,44398,44430.5,0,0,0,0,1
231,232,44463,44513.5,0,0,0,1,1
232,233,44564,44582.5,0,0,1,0,0
233,234,44601,44656.0,0,0,0,0,0
234,235,44711,44727.5,0,1,0,0,0
235,236,44744,44801.0,1,0,0,1,1
236,237,44858,44923.5,0,0,0,0,0
237,238,44989,45016.0,0,0,0,1,0
238,239,45043,45114.0,0,0,0,2,0
239,240,45185,45213.5,0,1,0,0,0
240,241,45242,45285.5,0,0,0,0,1
241,242,45329,45352.0,0,0,0,0,0
242,243,45375,45399.5,0,0,0,0,1
243,244,45424,45448.5,0,0,0,0,0
244,245,45473,45552.0,0,1,1,0,0
245,246,45631,45656.5,0,0,0,0,1
246,247,45682,45797.0,0,0,1,0,0
247,248,45912,46127.0,0,0,0,1,5
248,249,46342,46360.5,0,0,1,0,0
