,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,93.0,0,0,0,0,0
1,2,186,457.5,0,0,0,0,0
2,3,729,3337.5,6,0,0,0,0
3,4,5946,6741.0,0,0,0,0,0
4,5,7536,9280.0,2,5,3,0,0
5,6,11024,12671.5,1,2,0,0,0
6,7,14319,14934.0,6,0,0,0,0
7,8,15549,16518.5,8,2,2,0,0
8,9,17488,17598.0,3,0,0,0,0
9,10,17708,17838.5,2,0,0,0,0
10,11,17969,18055.5,2,0,0,0,0
11,12,18142,18344.0,2,0,0,0,0
12,13,18546,18622.5,2,0,0,0,0
13,14,18699,19280.5,8,0,0,0,0
14,15,19862,19900.5,1,0,0,0,0
15,16,19939,19997.5,1,0,0,0,0
16,17,20056,20190.5,3,0,0,0,0
17,18,20325,20497.5,2,0,0,0,0
18,19,20670,20824.5,2,0,0,0,0
19,20,20979,21066.0,1,0,0,0,0
20,21,21153,21436.5,1,0,0,0,0
21,22,21720,21827.0,1,0,0,0,0
22,23,21934,22040.0,1,0,0,0,0
23,24,22146,22357.5,3,0,0,0,0
24,25,22569,22777.5,2,0,0,0,0
25,26,22986,23776.5,3,0,0,0,0
26,27,24567,24712.5,2,0,0,0,0
27,28,24858,25332.0,2,0,0,0,0
28,29,25806,26603.0,1,0,0,0,0
29,30,27400,27498.5,1,0,0,0,0
30,31,27597,28129.0,3,0,0,0,0
31,32,28661,28810.5,1,0,0,0,0
32,33,28960,29084.0,1,0,0,0,0
33,34,29208,29471.0,3,0,0,0,0
34,35,29734,29881.5,2,0,0,0,0
35,36,30029,30106.5,1,0,0,0,0
36,37,30184,30421.0,4,0,0,0,0
37,38,30658,30753.0,3,0,0,0,0
38,39,30848,31011.0,2,0,0,0,0
39,40,31174,31600.0,6,0,0,0,0
40,41,32026,32197.0,2,0,0,0,0
41,42,32368,32458.5,2,0,0,0,0
42,43,32549,32618.5,1,0,0,0,0
43,44,32688,33179.5,8,0,0,0,0
44,45,33671,33761.5,1,0,0,0,0
45,46,33852,33956.5,1,0,0,0,0
46,47,34061,34391.0,3,0,0,0,0
47,48,34721,34916.0,3,0,0,0,0
48,49,35111,35249.0,2,0,0,0,0
49,50,35387,35522.0,1,0,0,0,0
50,51,35657,35887.5,1,0,0,0,0
51,52,36118,36258.0,1,0,0,0,0
52,53,36398,36509.5,3,0,0,0,0
53,54,36621,36713.0,2,0,0,0,0
54,55,36805,37087.0,1,0,0,0,0
55,56,37369,37522.0,1,0,0,0,0
56,57,37675,37824.5,2,0,0,0,0
57,58,37974,38204.5,2,0,0,0,0
58,59,38435,38561.5,1,0,0,0,0
59,60,38688,38985.0,3,0,0,0,0
60,61,39282,39525.0,1,0,0,0,0
61,62,39768,39921.0,2,0,0,0,0
62,63,40074,40250.5,2,0,0,0,0
