,section,st_pos,mid_pos,first-century,pre-fatimid,fatimid,ayyubid,mamluk
0,1,0,1260.5,0,0,0,0,0
1,2,2521,3248.0,0,0,0,0,0
2,3,3975,4585.0,0,0,0,0,0
3,4,5195,5721.0,0,0,0,0,0
4,5,6247,6549.5,0,0,0,0,0
5,6,6852,7538.0,0,0,0,0,0
6,7,8224,8578.5,0,0,0,0,0
7,8,8933,9390.5,1,3,0,0,0
8,9,9848,10294.0,1,1,0,0,0
9,10,10740,11633.5,7,0,0,0,0
10,11,12527,13109.5,1,0,2,0,0
11,12,13692,13924.5,0,0,0,0,0
12,13,14157,14834.5,2,0,0,0,0
13,14,15512,16068.0,0,0,0,0,0
14,15,16624,17172.5,0,0,1,0,0
15,16,17721,21713.5,2,0,1,0,0
16,17,25706,27973.5,1,0,0,0,0
17,18,30241,30854.0,0,0,0,0,0
18,19,31467,32151.0,1,0,0,0,0
19,20,32835,33284.5,1,0,0,0,1
20,21,33734,34360.0,1,0,0,0,0
21,22,34986,37940.0,0,0,0,0,0
22,23,40894,42828.0,2,0,0,0,3
23,24,44762,47998.0,5,0,0,0,5
24,25,51234,52748.5,0,0,0,0,0
25,26,54263,54659.0,2,0,0,0,0
26,27,55055,55546.0,0,0,0,0,0
27,28,56037,56515.0,0,0,0,0,0
28,29,56993,57537.5,0,0,0,0,0
29,30,58082,58557.0,0,0,0,0,0
30,31,59032,59687.5,0,0,0,0,0
31,32,60343,64006.5,2,7,0,0,0
32,33,67670,68260.5,2,0,0,0,0
33,34,68851,69247.0,0,0,1,0,0
34,35,69643,69841.5,0,0,0,0,0
35,36,70040,70664.5,0,0,0,1,0
36,37,71289,72065.0,0,0,0,0,0
37,38,72841,73356.0,0,0,0,0,0
38,39,73871,76234.0,1,0,0,0,0
39,40,78597,79331.0,0,0,0,0,0
40,41,80065,80799.0,0,0,0,0,0
41,42,81533,82191.5,0,0,0,0,0
42,43,82850,83598.0,0,0,0,0,0
43,44,84346,84896.0,0,0,0,0,0
44,45,85446,86630.5,0,0,0,0,0
45,46,87815,88668.5,0,0,0,0,0
46,47,89522,90219.0,0,0,0,0,0
47,48,90916,91641.0,1,0,0,0,0
48,49,92366,93262.0,0,0,0,0,0
49,50,94158,94718.0,0,0,0,0,1
