date,Distinct count,percent,rank
806,75,2.182,0
010,28,0.815,1
020,27,0.786,2
700,25,0.727,3
790,23,0.669,4
358,22,0.64,5
516,21,0.611,6
725,19,0.553,7
567,19,0.553,8
780,19,0.553,9
660,18,0.524,10
517,18,0.524,11
065,18,0.524,12
021,17,0.495,13
300,17,0.495,14
059,17,0.495,15
403,17,0.495,16
040,16,0.466,17
004,16,0.466,18
720,16,0.466,19
100,15,0.436,20
800,15,0.436,21
815,15,0.436,22
400,15,0.436,23
501,15,0.436,24
015,15,0.436,25
070,15,0.436,26
064,14,0.407,27
577,14,0.407,28
600,14,0.407,29
741,14,0.407,30
515,13,0.378,31
770,13,0.378,32
740,13,0.378,33
791,13,0.378,34
745,13,0.378,35
709,13,0.378,36
086,13,0.378,37
003,13,0.378,38
007,13,0.378,39
749,13,0.378,40
693,12,0.349,41
096,12,0.349,42
401,12,0.349,43
698,12,0.349,44
053,12,0.349,45
818,12,0.349,46
022,12,0.349,47
018,12,0.349,48
662,12,0.349,49
060,12,0.349,50
776,12,0.349,51
648,12,0.349,52
742,11,0.32,53
712,11,0.32,54
723,11,0.32,55
737,11,0.32,56
746,11,0.32,57
732,11,0.32,58
730,11,0.32,59
683,11,0.32,60
069,11,0.32,61
360,11,0.32,62
026,11,0.32,63
050,11,0.32,64
801,11,0.32,65
061,11,0.32,66
056,10,0.291,67
054,10,0.291,68
696,10,0.291,69
035,10,0.291,70
380,10,0.291,71
393,10,0.291,72
761,10,0.291,73
037,10,0.291,74
062,10,0.291,75
030,10,0.291,76
079,10,0.291,77
803,10,0.291,78
047,10,0.291,79
738,10,0.291,80
415,10,0.291,81
362,10,0.291,82
091,10,0.291,83
760,10,0.291,84
395,9,0.262,85
036,9,0.262,86
055,9,0.262,87
094,9,0.262,88
017,9,0.262,89
647,9,0.262,90
713,9,0.262,91
817,9,0.262,92
748,9,0.262,93
097,9,0.262,94
078,9,0.262,95
702,9,0.262,96
005,9,0.262,97
099,9,0.262,98
564,9,0.262,99
080,9,0.262,100
024,9,0.262,101
784,9,0.262,102
587,9,0.262,103
402,9,0.262,104
006,9,0.262,105
381,8,0.233,106
081,8,0.233,107
133,8,0.233,108
676,8,0.233,109
728,8,0.233,110
357,8,0.233,111
051,8,0.233,112
093,8,0.233,113
792,8,0.233,114
524,8,0.233,115
526,8,0.233,116
640,8,0.233,117
796,8,0.233,118
058,8,0.233,119
808,8,0.233,120
072,8,0.233,121
386,8,0.233,122
038,8,0.233,123
090,8,0.233,124
241,8,0.233,125
825,8,0.233,126
087,8,0.233,127
715,8,0.233,128
816,8,0.233,129
711,8,0.233,130
500,8,0.233,131
363,8,0.233,132
750,8,0.233,133
027,8,0.233,134
073,8,0.233,135
566,8,0.233,136
821,8,0.233,137
307,8,0.233,138
707,7,0.204,139
033,7,0.204,140
023,7,0.204,141
092,7,0.204,142
048,7,0.204,143
807,7,0.204,144
744,7,0.204,145
751,7,0.204,146
663,7,0.204,147
001,7,0.204,148
690,7,0.204,149
743,7,0.204,150
799,7,0.204,151
797,7,0.204,152
282,7,0.204,153
572,7,0.204,154
085,7,0.204,155
088,7,0.204,156
200,7,0.204,157
592,7,0.204,158
734,7,0.204,159
150,7,0.204,160
132,7,0.204,161
666,7,0.204,162
755,7,0.204,163
098,7,0.204,164
031,7,0.204,165
724,7,0.204,166
075,7,0.204,167
659,7,0.204,168
365,7,0.204,169
794,6,0.175,170
002,6,0.175,171
044,6,0.175,172
253,6,0.175,173
029,6,0.175,174
785,6,0.175,175
786,6,0.175,176
811,6,0.175,177
672,6,0.175,178
680,6,0.175,179
308,6,0.175,180
643,6,0.175,181
520,6,0.175,182
708,6,0.175,183
717,6,0.175,184
753,6,0.175,185
714,6,0.175,186
405,6,0.175,187
694,6,0.175,188
263,6,0.175,189
682,6,0.175,190
330,6,0.175,191
095,6,0.175,192
016,6,0.175,193
019,6,0.175,194
387,6,0.175,195
076,6,0.175,196
332,6,0.175,197
812,6,0.175,198
216,6,0.175,199
585,6,0.175,200
650,6,0.175,201
063,6,0.175,202
814,6,0.175,203
588,6,0.175,204
025,6,0.175,205
045,6,0.175,206
034,6,0.175,207
067,6,0.175,208
049,6,0.175,209
211,6,0.175,210
071,6,0.175,211
009,6,0.175,212
378,6,0.175,213
671,6,0.175,214
798,5,0.145,215
066,5,0.145,216
068,5,0.145,217
084,5,0.145,218
292,5,0.145,219
819,5,0.145,220
461,5,0.145,221
549,5,0.145,222
651,5,0.145,223
789,5,0.145,224
687,5,0.145,225
684,5,0.145,226
802,5,0.145,227
747,5,0.145,228
756,5,0.145,229
697,5,0.145,230
758,5,0.145,231
596,5,0.145,232
721,5,0.145,233
691,5,0.145,234
718,5,0.145,235
729,5,0.145,236
169,5,0.145,237
052,5,0.145,238
657,5,0.145,239
042,5,0.145,240
529,5,0.145,241
008,5,0.145,242
028,5,0.145,243
259,5,0.145,244
345,5,0.145,245
109,5,0.145,246
217,5,0.145,247
082,5,0.145,248
347,5,0.145,249
665,5,0.145,250
074,5,0.145,251
777,5,0.145,252
544,5,0.145,253
350,5,0.145,254
633,5,0.145,255
615,5,0.145,256
043,5,0.145,257
122,5,0.145,258
584,5,0.145,259
242,5,0.145,260
388,5,0.145,261
810,5,0.145,262
041,5,0.145,263
089,5,0.145,264
637,4,0.116,265
658,4,0.116,266
366,4,0.116,267
368,4,0.116,268
399,4,0.116,269
594,4,0.116,270
390,4,0.116,271
364,4,0.116,272
518,4,0.116,273
823,4,0.116,274
536,4,0.116,275
442,4,0.116,276
735,4,0.116,277
762,4,0.116,278
301,4,0.116,279
336,4,0.116,280
754,4,0.116,281
558,4,0.116,282
828,4,0.116,283
768,4,0.116,284
736,4,0.116,285
824,4,0.116,286
254,4,0.116,287
719,4,0.116,288
622,4,0.116,289
145,4,0.116,290
264,4,0.116,291
569,4,0.116,292
668,4,0.116,293
361,4,0.116,294
591,4,0.116,295
638,4,0.116,296
726,4,0.116,297
793,4,0.116,298
655,4,0.116,299
722,4,0.116,300
678,4,0.116,301
692,4,0.116,302
547,4,0.116,303
083,4,0.116,304
258,4,0.116,305
233,4,0.116,306
201,4,0.116,307
664,4,0.116,308
404,4,0.116,309
530,4,0.116,310
703,4,0.116,311
304,4,0.116,312
519,4,0.116,313
593,4,0.116,314
478,4,0.116,315
480,4,0.116,316
121,4,0.116,317
107,4,0.116,318
576,4,0.116,319
197,4,0.116,320
548,4,0.116,321
057,4,0.116,322
457,4,0.116,323
032,4,0.116,324
826,4,0.116,325
191,4,0.116,326
205,4,0.116,327
265,4,0.116,328
161,4,0.116,329
303,4,0.116,330
346,4,0.116,331
146,4,0.116,332
820,4,0.116,333
499,4,0.116,334
275,4,0.116,335
305,4,0.116,336
612,4,0.116,337
039,4,0.116,338
238,4,0.116,339
077,4,0.116,340
384,4,0.116,341
379,4,0.116,342
695,4,0.116,343
101,4,0.116,344
774,3,0.087,345
436,3,0.087,346
532,3,0.087,347
398,3,0.087,348
340,3,0.087,349
639,3,0.087,350
706,3,0.087,351
636,3,0.087,352
813,3,0.087,353
450,3,0.087,354
586,3,0.087,355
487,3,0.087,356
661,3,0.087,357
440,3,0.087,358
353,3,0.087,359
513,3,0.087,360
406,3,0.087,361
385,3,0.087,362
389,3,0.087,363
467,3,0.087,364
420,3,0.087,365
334,3,0.087,366
769,3,0.087,367
795,3,0.087,368
323,3,0.087,369
733,3,0.087,370
603,3,0.087,371
677,3,0.087,372
256,3,0.087,373
822,3,0.087,374
675,3,0.087,375
213,3,0.087,376
599,3,0.087,377
331,3,0.087,378
775,3,0.087,379
570,3,0.087,380
635,3,0.087,381
688,3,0.087,382
827,3,0.087,383
391,3,0.087,384
383,3,0.087,385
681,3,0.087,386
608,3,0.087,387
522,3,0.087,388
809,3,0.087,389
533,3,0.087,390
685,3,0.087,391
460,3,0.087,392
739,3,0.087,393
628,3,0.087,394
710,3,0.087,395
355,3,0.087,396
250,3,0.087,397
182,3,0.087,398
245,3,0.087,399
239,3,0.087,400
344,3,0.087,401
531,3,0.087,402
527,3,0.087,403
444,3,0.087,404
778,3,0.087,405
669,3,0.087,406
590,3,0.087,407
219,3,0.087,408
204,3,0.087,409
716,3,0.087,410
193,3,0.087,411
186,3,0.087,412
178,3,0.087,413
356,3,0.087,414
199,3,0.087,415
266,3,0.087,416
247,3,0.087,417
466,3,0.087,418
311,3,0.087,419
203,3,0.087,420
540,3,0.087,421
302,3,0.087,422
382,3,0.087,423
194,3,0.087,424
014,3,0.087,425
012,3,0.087,426
141,3,0.087,427
127,3,0.087,428
117,3,0.087,429
105,3,0.087,430
276,3,0.087,431
274,3,0.087,432
281,3,0.087,433
240,3,0.087,434
162,3,0.087,435
206,3,0.087,436
656,3,0.087,437
652,3,0.087,438
236,3,0.087,439
255,3,0.087,440
644,3,0.087,441
408,3,0.087,442
595,3,0.087,443
624,3,0.087,444
210,3,0.087,445
374,2,0.058,446
620,2,0.058,447
764,2,0.058,448
