,Distinct count
674,1
646,1
617,1
625,1
601,1
609,1
606,1
629,1
654,1
613,1
641,1
618,1
605,1
632,1
627,1
642,1
645,1
611,2
673,2
610,2
614,2
616,2
621,2
679,2
689,2
699,2
667,2
620,2
670,2
604,2
607,2
669,3
624,3
644,3
652,3
656,3
628,3
661,3
636,3
639,3
685,3
608,3
681,3
688,3
603,3
635,3
675,3
677,3
664,4
612,4
695,4
637,4
658,4
692,4
678,4
655,4
638,4
668,4
622,4
665,5
615,5
633,5
657,5
651,5
687,5
697,5
691,5
684,5
650,6
671,6
672,6
680,6
643,6
694,6
682,6
666,7
659,7
663,7
690,7
640,8
676,8
647,9
696,10
683,11
662,12
648,12
693,12
698,12
600,14
660,18
