word,count
بن,543561
يوسف,269559
عن,191493
قال,140033
الله,139456
في,122795
محمد,119950
ابي,117139
ابو,110619
عبد,101350
من,93911
علي,82880
حدثنا,79179
ابن,61964
ان,57770
احمد,47767
ثنا,44783
عليه,38508
لا,33851
وقال,33362
الي,31608
اخبرنا,27725
ما,27659
كان,25928
انا,25618
الحسن,25529
حنيفه,25058
نا,25017
ومحمد,23693
عنه,22234
يعقوب,21977
ابراهيم,21814
عمر,21234
وهو,21001
قول,20902
انه,20256
له,20082
بكر,19289
به,18008
يحيي,17942
الدين,17691
وابو,17660
اسحاق,17659
هذا,17376
صلي,17205
ذلك,17094
سنه,17048
سعيد,16963
ثم,16370
مالك,15410
رحمه,15377
اذا,15243
تعالي,15218
الرحمن,14622
موسي,14566
اسماعيل,13650
لم,13624
هو,13586
او,13419
عند,13368
فقال,13294
وسلم,13084
الا,12987
وابي,12754
روي,12575
وكان,12207
ولا,12028
قوله,11880
رسول,11404
يقول,11402
فيه,11287
وفي,11282
القاضي,11269
الملك,11027
حدثني,10701
ابا,10546
اي,10440
سمعت,10307
عمرو,10269
ابيه,10053
الحسين,9792
القاسم,9657
رضي,9462
السلام,9427
سفيان,9324
سليمان,8896
جعفر,8776
مسلم,8775
حتي,8553
بعد,8308
وقد,8187
لان,8162
وان,8007
وعن,7989
يزيد,7918
الحجاج,7761
النبي,7677
الذي,7604
كما,7584
ه,7541
ويوسف,7500
عبيد,7479
هشام,7249
سوره,7124
قد,7040
الحديث,6993
منه,6945
اهل,6928
الشافعي,6896
الحافظ,6833
م,6787
يا,6783
مع,6663
انبانا,6625
سمع,6557
عثمان,6413
خالد,6410
وابن,6409
اليه,6254
لما,6216
بها,6188
العزيز,6104
الامام,6103
البخاري,6023
داود,6018
زيد,5937
غير,5881
ذكر,5748
باب,5705
عباس,5692
وهذا,5679
فان,5674
ولم,5663
لانه,5653
حديث,5644
ح,5627
الشيخ,5606
و,5602
هذه,5547
ايضا,5517
قالا,5507
قبل,5499
كل,5496
ايوب,5491
بين,5474
ومن,5459
سعد,5423
وعبد,5402
عيسي,5355
حماد,5299
العباس,5197
واحمد,5189
وعند,5162
كتاب,5155
يجوز,5110
ص,5098
الفضل,5086
وروي,5005
صالح,4940
انس,4863
الوليد,4843
نصر,4834
وعلي,4804
قالوا,4803
رحمهما,4771
روايه,4760
الناس,4753
وما,4748
رجل,4745
يعني,4723
يكون,4697
صاحب,4690
فلما,4625
يونس,4575
ليس,4523
فيها,4514
مات,4447
واما,4444
قلت,4387
عدي,4374
سلمه,4321
فلا,4259
لو,4228
منصور,4176
هريره,4156
حمزه,4140
بشر,4120
اخبرني,4119
الصلاه,4071
يوم,4061
وبه,3962
الاول,3916
الايه,3886
توفي,3844
وقيل,3831
_,3820
لي,3734
زياد,3724
ولو,3712
مصر,3684
رواه,3677
اخر,3603
كثير,3601
لابي,3547
ش,3530
الزهري,3511
كانت,3472
احد,3436
سهل,3404
التي,3399
فيما,3392
الحكم,3381
شي,3365
فهو,3323
القران,3321
وحدثنا,3307
ذكره,3293
بعض,3290
عاشه,3284
ولد,3250
ت,3229
مثل,3187
ام,3179
بني,3147
طريق,3106
قالت,3103
بنت,3089
هارون,3087
دار,3074
واحد,3035
الفقيه,3023
القطان,3016
اني,3007
حجاج,3005
عليهم,3000
السلمي,2966
عاصم,2960
الدمشقي,2951
الانصاري,2949
منها,2940
جريج,2933
والله,2922
الحارث,2914
منهم,2901
معمر,2900
شهاب,2894
الكريم,2850
عشر,2834
عطا,2834
نافع,2831
حدث,2823
وكذلك,2813
لها,2807
جرير,2804
الزبير,2785
بما,2775
حسن,2762
معاويه,2759
وهي,2756
انبا,2745
الثوري,2738
الواحد,2727
الفريابي,2723
حميد,2697
مولي,2695
عشره,2694
وابا,2692
وغيره,2681
الليث,2677
المقر,2671
شعبه,2661
لهم,2639
وذكر,2618
طاهر,2606
الفتح,2606
والشافعي,2603
وجه,2569
البغدادي,2566
نعيم,2563
مسعود,2563
الرزاق,2555
المعروف,2554
وهب,2534
حاتم,2532
قيل,2529
ليوسف,2526
الاعمش,2519
الارض,2509
ثقه,2503
السلطان,2501
الاصبهاني,2497
طالب,2492
فانه,2487
خليل,2486
