word,count
الغلا,218
في,174
من,172
اشتد,133
علي,111
حتي,98
الي,97
بن,77
القحط,73
الله,72
الناس,69
قحط,62
شديد,62
والجوع,61
ان,56
ثم,52
المفرط,50
سنه,43
ذلك,41
لا,38
عليه,35
وفيها,34
عن,34
وكان,31
كان,31
له,30
ما,30
ابن,29
كل,28
قال,28
اهل,28
يوم,26
وفي,26
ابو,23
اكلوا,23
بهم,22
قد,22
فقال,21
كما,21
عمر,21
ببغداد,21
والقحط,20
صلي,20
عبد,20
بمصر,20
سنين,19
وسلم,19
هذه,19
ماه,18
محمد,18
بعد,18
اليمين,18
السنه,18
دينار,18
وهو,18
درهما,18
اكل,17
به,17
وقيل,16
الموت,16
وكثر,16
بها,15
الا,15
البلاد,15
دنانير,15
الدين,15
عليهم,15
عهد,15
رسول,15
بين,14
والوبا,14
درهم,14
الذي,14
الجيف,14
انه,14
السلطان,14
هذا,14
فخرج,14
بالناس,14
وعم,14
اصحاب,14
الجنه,14
فيها,14
توفي,13
بدرهم,13
بلونا,13
الدوله,13
بعضهم,13
مصر,13
الجوع,13
والكلاب,13
احمد,13
الكلاب,13
عشر,13
لم,13
بدمشق,13
امراه,13
القمح,13
وبلغ,12
الخبز,12
واكل,12
الميته,12
مكه,12
كثير,12
بعض,12
لهم,12
الوبا,12
اذا,12
كانت,12
ولا,12
عنه,12
الف,12
سار,12
فلم,12
هو,12
مع,11
وعظم,11
وفيه,11
اشتداد,11
اليه,11
الاقوات,11
وقال,11
اليسار,10
بعضا,10
الارض,10
تعالي,10
ولم,10
منهم,10
وخالف,10
وخرج,10
اي,10
رداه,10
دينارا,10
ركعتين,10
منهلا,10
الشام,9
صاحب,9
لان,9
فيه,9
يوسف,9
عنها,9
الروم,9
البلا,9
بلاد,9
يقال,9
كانوا,9
وثلاثين,9
الدقيق,9
فصلي,9
سبع,9
طرفي,9
فجعل,9
خرج,9
اذ,9
او,9
وكانوا,8
واليسار,8
بافريقيه,8
رغيفا,8
حلب,8
عند,8
الاردب,8
النيل,8
ولقد,8
والشام,8
قوله,8
الغراره,8
ايضا,8
وان,8
اليهم,8
اللهم,8
وقد,7
عظيم,7
اكثر,7
القيامه,7
خمس,7
بيع,7
الادميين,7
غلا,7
اكلت,7
ابي,7
الكر,7
السعر,7
الامر,7
الغلات,7
بالف,7
الملك,7
بغداد,7
الطعام,7
جماعه,7
منه,7
وسبعين,7
ال,7
موسي,7
وما,7
وصل,7
بمكه,7
عندهم,7
جدا,7
الذين,7
قيل,7
وتسعين,6
ذي,6
الفرنج,6
فان,6
يمر,6
شيطان,6
والسنانير,6
وكانت,6
وخمسين,6
والجيف,6
بما,6
بسط,6
وديار,6
وبيع,6
فكان,6
الشعير,6
ليله,6
ومن,6
يا,6
ثلاث,6
بدعوه,6
فكيف,6
كسني,6
اهلها,6
ابيع,6
عشرين,6
روي,6
اللحم,6
فبلغ,6
فاذا,6
بدر,6
حكي,6
قل,6
رضي,6
لعلهم,6
وستين,6
مات,6
غير,5
منها,5
بالنبي,5
مضر,5
تلك,5
وطاتك,5
صرف,5
فلما,5
التي,5
وبين,5
لعدم,5
حال,5
بثلاثه,5
شده,5
العراق,5
اشدد,5
شيخ,5
رجلا,5
سته,5
اربع,5
ذات,5
بالله,5
انها,5
باعت,5
فلو,5
نقصنا,5
انت,5
صيره,5
كرين,5
وبا,5
يسقوا,5
وهم,5
المدينه,5
وعشرين,5
الرطل,5
باليمن,5
وحتي,5
تطوي,5
ميل,5
حماره,5
اربعه,5
فبيع,5
بالعراق,5
تحته,5
الاسلام,5
ورحل,5
الطاعون,5
الحنطه,5
بدعا,5
الجماعه,5
عباس,5
واما,5
واحد,5
الثمرات,5
خطوه,5
باعلي,5
ه,5
وعدمت,5
يسمع,5
صوته,5
ينادي,5
غار,5
ومعه,5
فاكل,5
البيت,5
دراهم,5
المغرب,5
يموتون,5
الكلب,4
يتضرعون,4
ويتخشعون,4
ذنوبهم,4
بالموصل,4
اخرج,4
