uid,gid,cluster,size,seq,series,begin,end,id,book,tagged-text-ms,citation,cited_text
-6974201285663347126,-1997016206416047110,200807,160,850,Shamela0025800-ara1,589,951,Shamela0025800,0606IbnAthirMajdDin.MucjamJamic,705,f,f
237570857427650930,-166781166239542393,200807,160,4056,Shamela0010283-ara1.mARkdown,1,1114,Shamela0010283,0733Nuwayri.NihayatArab,705,f,f
-1139161870931251,4648131178665673381,200807,160,66,Shamela0010646-ara1,1,423,Shamela0010646,0562IbnHamdun.TadhkiraHamduniyya,705,f,f
1151583962247190468,4648131178665673381,200807,160,65,Shamela0010646-ara1,1126,1605,Shamela0010646,0562IbnHamdun.TadhkiraHamduniyya,705,f,f
2962184505789712580,6466097600277704307,200807,160,3570,Shamela0003118-ara1.completed,1,201,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,705,f,f
-2791511948118825850,6466097600277704307,200807,160,3569,Shamela0003118-ara1.completed,898,1513,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,705,f,f
504066209906812526,-2304112805846745627,200807,160,28,JK009408-ara1.completed,1,1185,JK009408,0430AbuNucaymIsbahani.MacrifatSahaba,705,f,f
1067241739046470070,-7012536273894343423,200807,160,11584,JK000916-ara1.mARkdown,1,469,JK000916,0571IbnCasakir.TarikhDimashq,705,f,f
1067241739046470070,-7012536273894343423,200807,160,11584,JK000916-ara1.mARkdown,708,1522,JK000916,0571IbnCasakir.TarikhDimashq,705,f,f
6372496343770149036,-7012536273894343423,200807,160,11582,JK000916-ara1.mARkdown,451,1414,JK000916,0571IbnCasakir.TarikhDimashq,705,f,f
-9200908489706382483,-7012536273894343423,200807,160,11583,JK000916-ara1.mARkdown,1,1425,JK000916,0571IbnCasakir.TarikhDimashq,705,f,f
5434324638969037773,-7012536273894343423,200807,160,11585,JK000916-ara1.mARkdown,1,412,JK000916,0571IbnCasakir.TarikhDimashq,705,f,f
5434324638969037773,-7012536273894343423,200807,160,11585,JK000916-ara1.mARkdown,1054,1349,JK000916,0571IbnCasakir.TarikhDimashq,705,f,f
-1919599737833910226,-8077418318192376006,200807,160,227,Shamela0008657-ara1.completed,438,1489,Shamela0008657,0694MuhibbDinTabari.RiyadNadira,705,f,f
-110024801907028816,1533445134418962482,200807,160,3726,Shamela0023628-ara1.completed,720,1009,Shamela0023628,0741KhazinBaghdadi.LubabTawil,705,f,f
7386901240308480221,1533445134418962482,200807,160,1288,Shamela0023628-ara1.completed,1,324,Shamela0023628,0741KhazinBaghdadi.LubabTawil,705,f,f
5150216898819624612,8911967320214985364,200807,160,257,ShamAY0034434-ara1,586,1490,ShamAY0034434,0535QawwamSunna.MabcathWaMaghazi,705,f,f
-4174714330130715643,-3828321945575048363,200807,160,923,Shamela0000041-ara1.completed,1275,1626,Shamela0000041,0510IbnMascudBaghawi.Tafsir,705,f,f
-5716170347822806720,-4945071420828014136,200807,160,8298,Shamela0007798-ara1.inProgress,1115,1582,Shamela0007798,0310Tabari.JamicBayan,705,f,f
6843497739083632424,-4945071420828014136,200807,160,8299,Shamela0007798-ara1.inProgress,1,612,Shamela0007798,0310Tabari.JamicBayan,705,f,f
1637912889716912114,-2018538611779741788,200807,160,8,Shamela0001733-ara1,1261,1467,Shamela0001733,0360Tabarani.MucjamKabir,705,f,f
5047118534693700821,-4974135133203691388,200807,160,819,ShamAY0034138-ara1,930,1059,ShamAY0034138,0597IbnJawzi.Mawducat,705,f,f
1489383492996796302,8315294197237176478,200807,160,283,Shamela0011818-ara1,1,276,Shamela0011818,0774IbnKathir.NihayaFiFitan,705,f,f
