,Distinct count
501,1
506,1
507,1
509,1
514,1
517,1
521,1
531,1
533,1
535,1
537,1
538,1
545,1
554,1
560,1
561,1
562,1
582,1
504,2
510,2
513,2
515,2
516,2
523,2
525,2
526,2
527,2
532,2
534,2
536,2
540,2
546,2
547,2
548,2
551,2
552,2
553,2
558,2
557,2
559,2
572,2
584,2
591,2
599,2
511,3
505,3
518,3
508,3
520,3
522,3
528,3
529,3
530,3
541,3
542,3
543,3
563,3
574,3
550,3
566,3
575,3
569,3
571,3
579,3
583,3
585,3
592,3
580,3
581,3
586,3
595,3
590,3
593,3
594,3
598,3
539,4
500,4
519,4
524,4
512,4
556,4
555,4
565,4
568,4
587,4
578,4
597,4
503,5
549,5
573,5
576,5
577,5
588,5
589,5
502,6
544,6
570,7
564,7
596,9
567,10
