,Distinct count
@YY377,1
@YY343,1
@YY321,1
@YY306,1
@YY322,1
@YY333,1
@YY341,1
@YY317,1
@YY369,1
@YY352,1
@YY373,1
@YY394,1
@YY370,1
@YY371,1
@YY326,1
@YY376,1
@YY359,1
@YY315,1
@YY325,1
@YY328,2
@YY356,2
@YY348,2
@YY397,2
@YY349,2
@YY339,2
@YY367,2
@YY351,2
@YY309,2
@YY312,2
@YY319,2
@YY396,2
@YY372,2
@YY310,2
@YY375,2
@YY374,2
@YY313,2
@YY335,2
@YY342,2
@YY324,2
@YY344,3
@YY302,3
@YY382,3
@YY311,3
@YY355,3
@YY301,3
@YY334,3
@YY389,3
@YY385,3
@YY353,3
@YY398,3
@YY340,3
@YY383,3
@YY391,3
@YY331,3
@YY323,3
@YY304,4
@YY303,4
@YY379,4
@YY384,4
@YY305,4
@YY346,4
@YY336,4
@YY364,4
@YY390,4
@YY399,4
@YY368,4
@YY366,4
@YY361,4
@YY345,5
@YY347,5
@YY350,5
@YY308,5
@YY388,5
@YY330,5
@YY332,6
@YY378,6
@YY387,6
@YY307,7
@YY365,7
@YY363,8
@YY357,8
@YY386,8
@YY381,8
@YY395,9
@YY362,10
@YY380,10
@YY393,10
@YY360,11
@YY300,14
@YY358,22
